component,Astronautics,Biology,Botany,Chemistry,Document,Finance,Healthcare,Image,Linguistics,Network,Physical,Physics,Sociology
augmentation:GAN,0.2955452041149988,0.21235686831988443,0.11927954331591153,0.5009446959238021,0.2123678286158191,0.4107330098786545,0.2067452750388332,0.34085948731411014,0.5180605563331075,0.43174572017478,0.2806945233067256,0.31486930423455856,0.343715611854248
augmentation:Mixup,0.8581852989097699,0.7294934829090168,0.7815228249051183,0.9312875406616032,0.8228401729028176,0.8839023648991206,0.8806238564713861,0.8574469365072713,0.8984889876450152,0.9380924095365506,0.8136730608863091,0.8829840763893183,0.8884977881604202
augmentation:Origin,0.35400637324690115,0.21329688736177552,0.19622631646508248,0.3845170154849812,0.17617219151554972,0.4536235239066421,0.2602539267964911,0.3588759061534123,0.6085595509732555,0.5438184692929414,0.30327710989406176,0.3634622925619602,0.34121978936622593
augmentation:Oversampling,0.8602493227830335,0.7415293697197706,0.7917281155688831,0.9361065574035068,0.828396599083777,0.8893941458335711,0.8818635339785225,0.8672233554979111,0.9132922316050885,0.9296934691504585,0.8096425064049417,0.8843563617348961,0.9100262324396685
augmentation:SMOTE,0.8591432689554449,0.7406289562772266,0.7741590558817301,0.9231916825216234,0.8203186092119606,0.8986142683761361,0.8749087098955762,0.8584160565645735,0.8963761487297962,0.9353457340756275,0.8058933492227031,0.8829860790619216,0.8944459043623414
preprocess:minmax,0.6354777756343248,0.4677426659369302,0.539503020277133,0.7518337057723443,0.6054700454171549,0.7193518555848226,0.6159822076910433,0.6558923256845806,0.7264751345055356,0.7545011698737099,0.5566406673675895,0.6401266777063935,0.6868233003775422
preprocess:normalize,0.6632595835030627,0.5902428182908958,0.5335003472172315,0.7237132671958565,0.5453568447706715,0.7038610355910905,0.6327071380993957,0.6607462552744784,0.81144873382542,0.7668192640336978,0.6522318801724553,0.6990319247402557,0.6727256281942549
network_architecture:AE,0.6565210212016603,0.5487700242356393,0.5497229820973385,0.7528444969164193,0.5947116978204492,0.7367083763285129,0.6362646121979881,0.6670614477519446,0.7708979480554593,0.7879273728166147,0.6193595058516884,0.6839735555851546,0.6875177330035177
network_architecture:FTT,0.5277552828737786,0.39835385844219373,0.4283696358792114,0.5453459657245593,0.44740223330922446,0.48166577605268257,0.5203227196375446,0.49368030517281597,0.5665051421891145,0.5312705803567718,0.4446654270793048,0.5157550402547048,0.5166448293006309
network_architecture:MLP,0.6418338571049654,0.5113866513442867,0.5205286460174133,0.7640270605855514,0.5646638509441363,0.7161370825427367,0.6259246556022797,0.6662662788498581,0.7973469381383652,0.7830288324411496,0.5938126288815451,0.6539844127153952,0.6948299217638455
network_architecture:ResNet,0.7715967659853151,0.6501010241445875,0.6494094243756516,0.8072013702317155,0.6711457682678128,0.8501987740712297,0.6863808786729336,0.7694211140687149,0.8821964491411339,0.8434176683931188,0.7507742841621942,0.8261854298858191,0.7738497085252004
"hidden_size_list:[100, 20]",0.6736002698281979,0.5464410398314536,0.5625685084525556,0.759998142177479,0.5972439154956776,0.7273995230145961,0.65232515117259,0.6780999007506207,0.7853792123825599,0.7756693829397724,0.6264199672852683,0.6962161973623768,0.6970037861952391
"hidden_size_list:[100, 50, 20]",0.6415844421449954,0.535858575968072,0.5266621064838289,0.7235948276547723,0.572257932696676,0.7125315618663564,0.6154544069971247,0.6516948175143122,0.7694639390061393,0.7505805585383707,0.6073798070150926,0.6630426612546036,0.6706726508981571
hidden_size_list:[20],0.6333525517331705,0.5077390571352813,0.519655561363755,0.7276539597140503,0.5558027792694349,0.6952796105293167,0.6052533886156926,0.6449528661264803,0.7536435707815001,0.7549262471175503,0.582247517251253,0.6507353639105083,0.6705163122222145
act_fun:LeakyReLU,0.6468206381173636,0.5214595785736698,0.533999644547161,0.7638128274259322,0.5877509239688513,0.7139549968035687,0.6292906790333257,0.6575322202515635,0.7753589778979002,0.7875372828140073,0.6035357742144721,0.6593060995306225,0.6774323717465232
act_fun:ReLU,0.6585130635661187,0.5414255812987366,0.538927233524693,0.7127855579627501,0.5736720959812734,0.7172863027046354,0.6238376326407385,0.6571032699638631,0.760304587344276,0.7358521244864115,0.6197500678096485,0.6860345286489768,0.6737847834898741
act_fun:Tanh,0.6356779161180494,0.51468266905319,0.5342327563313443,0.7586391009678372,0.5655640460977621,0.6987117128297329,0.6210332752528167,0.6614776592974998,0.7802379278628659,0.7819146680673225,0.578814941859066,0.6505707567374895,0.6923513972174479
dropout:0.0,0.6538751279151098,0.5431259896368338,0.544023234065547,0.7398682261020679,0.5840797216377481,0.7177226825281056,0.635377488035058,0.6636234608770497,0.7772337013019839,0.7675502788622949,0.6136374242722958,0.6793590537130445,0.6853238180851762
dropout:0.1,0.6409751282280056,0.5213548175435362,0.5295079191450364,0.7366769802028803,0.5663934858020004,0.6970843814247755,0.6121194886598833,0.6527219836792146,0.7609188509294893,0.7484501969262121,0.5956440546263466,0.6548080263736256,0.6690340303271695
dropout:0.2,0.6535869481696269,0.5233557442141265,0.5355199538474763,0.7360087607517745,0.5740262306689168,0.7191505345186546,0.6252138497879285,0.6584086453730678,0.7693073822125529,0.7658205459331523,0.6050160190448823,0.6752072322914449,0.6841402881643929
network_initialization:default,0.6341092431339963,0.5138574989794487,0.5245970929715392,0.7199739324965528,0.5603994691791399,0.6863766177909683,0.6131664803724196,0.6390377791972652,0.7488709347476484,0.7411627865017981,0.5819725715041321,0.6477637666350043,0.6629293185440667
network_initialization:kaiming_normal,0.6623538520131744,0.5555033471289599,0.5557482859283698,0.7451740869441961,0.5887754884935282,0.7314988422862344,0.6381304326872882,0.6747335783198299,0.7847467451361297,0.7793155039628522,0.6280076717290529,0.6890993584027248,0.6940236921814967
network_initialization:xavier_normal,0.6541746263148978,0.5199018800687094,0.5298856731872836,0.7498730560241397,0.5774191908130086,0.7194096829535832,0.623030025743898,0.66347143153045,0.7765834299036165,0.7637019407887755,0.6071626041479992,0.6754511893384275,0.6837704505340276
training_strategy:None,0.6495921894916363,0.5294315860578627,0.5364720282925421,0.737532678813662,0.574992138901348,0.7114964484248559,0.6244415794449611,0.6583554402598198,0.769296246992087,0.7607546413688675,0.6049263175813939,0.669997865370359,0.6796524276499629
loss_name:bce,0.6829704213564282,0.5637599610560599,0.5445587636553372,0.7600966169716382,0.5970664652706255,0.7652031325521629,0.6500204486873356,0.6992944010448229,0.794056479469979,0.7976733409125568,0.6525621651198606,0.7136999861167928,0.7264012837117565
loss_name:deviation,0.7106139196115463,0.6097946618310733,0.6128273062531597,0.7788091709422464,0.626127669897217,0.8050156412557523,0.6749897462522372,0.734173456261174,0.8635068269618491,0.8073251681848368,0.6983677619803222,0.7447126019826309,0.7469739752805332
loss_name:focal,0.6272740534853188,0.49825328553426784,0.4767200585799271,0.7207822439992254,0.5337992687651198,0.6842443384088395,0.5940894544264882,0.6387522133938145,0.7320230679905418,0.7409034634956091,0.5743945674488284,0.6541841934351155,0.658951084894758
loss_name:hinge,0.7445989669415023,0.6372159272314915,0.6555216368444824,0.8124706939195361,0.6846417527921078,0.8472793174871496,0.7150864036654663,0.7711451603487116,0.8790425496100577,0.8371451683660422,0.7331026202715012,0.7857394156823013,0.7842279488319106
loss_name:inverse,0.5107990782218682,0.3844502540291403,0.44097179986643814,0.5729993439526602,0.4589372799923437,0.4912152234290978,0.5156493976245505,0.4799907916570562,0.5509998930763923,0.6040772381203012,0.4264175032798671,0.4774929852607471,0.4594226394107461
loss_name:minus,0.6153091669135952,0.47722349513990864,0.4909074351514646,0.7625272984449479,0.5455231374584418,0.6534228998817541,0.5942618134619584,0.6244609138724815,0.7906320536511587,0.7618580476304798,0.5365101350898481,0.622466368871664,0.6817036296156007
optimizer_name:Adam,0.6703229776671638,0.5730603166397018,0.5786920296597046,0.7481647373021415,0.6091420621978458,0.7387184567953938,0.6549047258054166,0.6915579012595666,0.8035781001233582,0.7818738568605447,0.6466279755625021,0.6966539974273096,0.695772726845208
optimizer_name:RMSprop,0.6757067878105049,0.5719039361295787,0.5692094062273151,0.7428077257887455,0.6080434484437442,0.7590987708173716,0.650784597495336,0.6962347934764249,0.8115701084523482,0.7885033597637123,0.6555724649973176,0.7014314526845931,0.7049872912263804
optimizer_name:SGD,0.5969352624225398,0.4331500012284528,0.45258709583889867,0.7179692274772623,0.4993339902469639,0.6247076429775591,0.5609566207734712,0.5811187756678153,0.6833930926083136,0.7025646873154873,0.5016119621920755,0.6018656686333116,0.6315123638462736
batch_resample:False,0.5107990782218682,0.3844502540291403,0.44097179986643814,0.5729993439526602,0.4589372799923437,0.4912152234290978,0.5156493976245505,0.4799907916570562,0.5509998930763923,0.6040772381203012,0.4264175032798671,0.4774929852607471,0.4594226394107461
batch_resample:True,0.675735887830897,0.5560046683110076,0.5542215656969898,0.7660005210897354,0.5964820378160218,0.750999494900811,0.6449309940040908,0.6924461029363158,0.809646120273626,0.7885926863449155,0.6382247987568612,0.7042698652592079,0.7189182038476528
epochs:100,0.6638306075485887,0.5555610061049437,0.5470752378148271,0.741359011925214,0.582645064060657,0.7194989645716784,0.6354603812253498,0.668921470518913,0.7795188195518854,0.7619204738005174,0.6224157489391987,0.6837957213527055,0.6886815172341659
epochs:20,0.6416551139515256,0.5078929985901178,0.533005678565188,0.7426209417023528,0.5687129133526996,0.7103451058750335,0.6198657315624507,0.6552004385192709,0.7728894834250044,0.762924334946416,0.5872487667608819,0.6600179387146029,0.6841939621103573
epochs:50,0.6435125120947296,0.5256176917470738,0.5293829911692551,0.7280717445599694,0.5738996460151,0.7045380221516052,0.6181332828328823,0.6509578911443293,0.7551904353922412,0.7572172435189696,0.6059931038512321,0.6666085589826787,0.6656217223193733
batch_size:16,0.6632393703962524,0.5615865676790088,0.554154528996668,0.7391403622665481,0.5872322100802553,0.7371865459117645,0.6370828366454245,0.6743180661320035,0.794801971591092,0.7695846637645268,0.6367281740595864,0.694014243064797,0.6964373628615483
batch_size:256,0.6393566644358694,0.49147066625369806,0.5234757444061108,0.7488003619819816,0.5742568684151178,0.6859491446452944,0.6175911349106712,0.6447278318289242,0.7377275757389903,0.7552488485523899,0.5740097392443342,0.6494401198226762,0.6742006669548288
batch_size:64,0.6457906953641522,0.5331620676689832,0.5313567581014661,0.7259225293283575,0.5640126811455709,0.7100224758614179,0.6185982485812426,0.6553371113454496,0.7735590395214235,0.7572820946859061,0.6027389015462066,0.6657783370260678,0.668631617078382
lr:0.001,0.673665073236645,0.546321288302465,0.5672947720164077,0.7558073176515291,0.5988715557949996,0.710550790592505,0.6490779444288203,0.6758490505937441,0.7727455350457885,0.7687455575205685,0.6198709616703757,0.6895945971896572,0.6925013769677744
lr:0.01,0.6243890442112978,0.511823924345023,0.5042531324139372,0.7180845602813,0.5499931132380151,0.7124953163489132,0.5987765562154294,0.6402103437479426,0.7656999242973822,0.7522818609266115,0.5893346288461014,0.6492689400579345,0.6660147491092167
weight_decay:0.0001,0.6671144368893874,0.5611311304347805,0.5551218704897468,0.7460568184436703,0.5960225558984623,0.7423356261048503,0.6365153891637544,0.681645595703555,0.7962878281166821,0.7849028712820003,0.6446815716949277,0.6989764493720457,0.6902181485568398
weight_decay:0.01,0.6320098520822333,0.49766708359820533,0.5178856209327429,0.7289427388075627,0.5539473372140853,0.6803782802717648,0.6123677697261679,0.635159704365181,0.7422121655894777,0.7363015950893697,0.56489839368656,0.6407974550471562,0.6689541750522681
